FK_COLLECTION_ID,FK_FISH_ID,PK_TISSUE_TYPE,CAPTURE_LOCATION,CAPTURE_DATE,END_CAPTURE_DATE,LATITUDE,LONGITUDE,MESH_SIZE,MESH_SIZE_COMMENT,IS_MISSING_PAIRED_DATA_EXISTS,WELL_HAS_MORE_THAN_ONE_SAMPLE,IS_PRESENT_IN_DATASHEET,IS_PRESENT_BUT_NOT_IN_DS,VIAL_BARCODE,CONTAINER_ARRAY_TYPE_ID,DNA_TRAY_WORKBENCH_ID,DNA_TRAY_CODE,DNA_TRAY_WELL_POS,DNA_TRAY_WELL_CODE,STORAGE_ID,UNIT,SHELF_RACK,SLOT,EXHAUSTED_HOW,EXHAUSTED_BY,EXHAUSTED_DATE,AGENCY,OTHER_AGENCY_KEY,NUM_OTOLITHS_MISSING,OTO_INVENTORY_COMMENT
52497,1,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,A1,1,0000022114,W,2,I,,,,,,0,
52497,2,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,B1,2,0000022114,W,2,I,,,,,,0,
52497,3,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,C1,3,0000022114,W,2,I,,,,,,0,
52497,4,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,D1,4,0000022114,W,2,I,,,,,,0,
52497,5,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,E1,5,0000022114,W,2,I,,,,,,0,
52497,6,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,F1,6,0000022114,W,2,I,,,,,,0,
52497,7,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,G1,7,0000022114,W,2,I,,,,,,0,
52497,8,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,H1,8,0000022114,W,2,I,,,,,,0,
52497,9,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,A2,9,0000022114,W,2,I,,,,,,0,
52497,10,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,B2,10,0000022114,W,2,I,,,,,,0,
52497,11,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,C2,11,0000022114,W,2,I,,,,,,0,
52497,12,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,D2,12,0000022114,W,2,I,,,,,,0,
52497,13,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,E2,13,0000022114,W,2,I,,,,,,0,
52497,14,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,F2,14,0000022114,W,2,I,,,,,,0,
52497,15,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,G2,15,0000022114,W,2,I,,,,,,0,
52497,16,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,H2,16,0000022114,W,2,I,,,,,,0,
52497,17,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,A3,17,0000022114,W,2,I,,,,,,0,
52497,18,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,B3,18,0000022114,W,2,I,,,,,,0,
52497,19,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,C3,19,0000022114,W,2,I,,,,,,0,
52497,20,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,D3,20,0000022114,W,2,I,,,,,,0,
52497,21,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,E3,21,0000022114,W,2,I,,,,,,0,
52497,22,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,F3,22,0000022114,W,2,I,,,,,,0,
52497,23,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,G3,23,0000022114,W,2,I,,,,,,0,
52497,24,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,H3,24,0000022114,W,2,I,,,,,,0,
52497,25,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,A4,25,0000022114,W,2,I,,,,,,0,
52497,26,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,B4,26,0000022114,W,2,I,,,,,,0,
52497,27,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,C4,27,0000022114,W,2,I,,,,,,0,
52497,28,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,D4,28,0000022114,W,2,I,,,,,,0,
52497,29,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,E4,29,0000022114,W,2,I,,,,,,0,
52497,30,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,F4,30,0000022114,W,2,I,,,,,,0,
52497,31,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,G4,31,0000022114,W,2,I,,,,,,0,
52497,32,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,H4,32,0000022114,W,2,I,,,,,,0,
52497,33,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,A5,33,0000022114,W,2,I,,,,,,0,
52497,34,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,B5,34,0000022114,W,2,I,,,,,,0,
52497,35,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,C5,35,0000022114,W,2,I,,,,,,0,
52497,36,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,D5,36,0000022114,W,2,I,,,,,,0,
52497,37,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,E5,37,0000022114,W,2,I,,,,,,0,
52497,38,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,F5,38,0000022114,W,2,I,,,,,,0,
52497,39,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,G5,39,0000022114,W,2,I,,,,,,0,
52497,40,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,H5,40,0000022114,W,2,I,,,,,,0,
52497,41,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,A6,41,0000022114,W,2,I,,,,,,0,
52497,42,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,B6,42,0000022114,W,2,I,,,,,,0,
52497,43,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,C6,43,0000022114,W,2,I,,,,,,0,
52497,44,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,D6,44,0000022114,W,2,I,,,,,,0,
52497,45,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,E6,45,0000022114,W,2,I,,,,,,0,
52497,46,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,F6,46,0000022114,W,2,I,,,,,,0,
52497,47,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,G6,47,0000022114,W,2,I,,,,,,0,
52497,48,Axillary Process,,,,0,0,,,,,,,,,1,1400002563,H6,48,0000022114,W,2,I,,,,,,0,
52497,49,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,A1,1,0000022114,W,2,I,,,,,,0,
52497,50,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,B1,2,0000022114,W,2,I,,,,,,0,
52497,51,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,C1,3,0000022114,W,2,I,,,,,,0,
52497,52,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,D1,4,0000022114,W,2,I,,,,,,0,
52497,53,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,E1,5,0000022114,W,2,I,,,,,,0,
52497,54,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,F1,6,0000022114,W,2,I,,,,,,0,
52497,55,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,G1,7,0000022114,W,2,I,,,,,,0,
52497,56,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,H1,8,0000022114,W,2,I,,,,,,0,
52497,57,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,A2,9,0000022114,W,2,I,,,,,,0,
52497,58,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,B2,10,0000022114,W,2,I,,,,,,0,
52497,59,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,C2,11,0000022114,W,2,I,,,,,,0,
52497,60,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,D2,12,0000022114,W,2,I,,,,,,0,
52497,61,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,E2,13,0000022114,W,2,I,,,,,,0,
52497,62,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,F2,14,0000022114,W,2,I,,,,,,0,
52497,63,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,G2,15,0000022114,W,2,I,,,,,,0,
52497,64,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,H2,16,0000022114,W,2,I,,,,,,0,
52497,65,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,A3,17,0000022114,W,2,I,,,,,,0,
52497,66,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,B3,18,0000022114,W,2,I,,,,,,0,
52497,67,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,C3,19,0000022114,W,2,I,,,,,,0,
52497,68,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,D3,20,0000022114,W,2,I,,,,,,0,
52497,69,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,E3,21,0000022114,W,2,I,,,,,,0,
52497,70,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,F3,22,0000022114,W,2,I,,,,,,0,
52497,71,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,G3,23,0000022114,W,2,I,,,,,,0,
52497,72,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,H3,24,0000022114,W,2,I,,,,,,0,
52497,73,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,A4,25,0000022114,W,2,I,,,,,,0,
52497,74,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,B4,26,0000022114,W,2,I,,,,,,0,
52497,75,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,C4,27,0000022114,W,2,I,,,,,,0,
52497,76,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,D4,28,0000022114,W,2,I,,,,,,0,
52497,77,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,E4,29,0000022114,W,2,I,,,,,,0,
52497,78,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,F4,30,0000022114,W,2,I,,,,,,0,
52497,79,Axillary Process,,,,0,0,,,1,,,,,,2,1400002564,G4,31,0000022114,W,2,I,,,,,,0,
52497,80,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,H4,32,0000022114,W,2,I,,,,,,0,
52497,81,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,A5,33,0000022114,W,2,I,,,,,,0,
52497,82,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,B5,34,0000022114,W,2,I,,,,,,0,
52497,83,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,C5,35,0000022114,W,2,I,,,,,,0,
52497,84,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,D5,36,0000022114,W,2,I,,,,,,0,
52497,85,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,E5,37,0000022114,W,2,I,,,,,,0,
52497,86,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,F5,38,0000022114,W,2,I,,,,,,0,
52497,87,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,G5,39,0000022114,W,2,I,,,,,,0,
52497,88,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,H5,40,0000022114,W,2,I,,,,,,0,
52497,89,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,A6,41,0000022114,W,2,I,,,,,,0,
52497,90,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,B6,42,0000022114,W,2,I,,,,,,0,
52497,91,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,C6,43,0000022114,W,2,I,,,,,,0,
52497,92,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,D6,44,0000022114,W,2,I,,,,,,0,
52497,93,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,E6,45,0000022114,W,2,I,,,,,,0,
52497,94,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,F6,46,0000022114,W,2,I,,,,,,0,
52497,95,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,G6,47,0000022114,W,2,I,,,,,,0,
52497,96,Axillary Process,,,,0,0,,,,,,,,,2,1400002564,H6,48,0000022114,W,2,I,,,,,,0,
52497,97,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,A1,1,0000022123,W,3,I,,,,,,0,
52497,98,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,B1,2,0000022123,W,3,I,,,,,,0,
52497,99,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,C1,3,0000022123,W,3,I,,,,,,0,
52497,100,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,D1,4,0000022123,W,3,I,,,,,,0,
52497,101,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,E1,5,0000022123,W,3,I,,,,,,0,
52497,102,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,F1,6,0000022123,W,3,I,,,,,,0,
52497,103,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,G1,7,0000022123,W,3,I,,,,,,0,
52497,104,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,H1,8,0000022123,W,3,I,,,,,,0,
52497,105,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,A2,9,0000022123,W,3,I,,,,,,0,
52497,106,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,B2,10,0000022123,W,3,I,,,,,,0,
52497,107,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,C2,11,0000022123,W,3,I,,,,,,0,
52497,108,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,D2,12,0000022123,W,3,I,,,,,,0,
52497,109,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,E2,13,0000022123,W,3,I,,,,,,0,
52497,110,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,F2,14,0000022123,W,3,I,,,,,,0,
52497,111,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,G2,15,0000022123,W,3,I,,,,,,0,
52497,112,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,H2,16,0000022123,W,3,I,,,,,,0,
52497,113,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,A3,17,0000022123,W,3,I,,,,,,0,
52497,114,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,B3,18,0000022123,W,3,I,,,,,,0,
52497,115,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,C3,19,0000022123,W,3,I,,,,,,0,
52497,116,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,D3,20,0000022123,W,3,I,,,,,,0,
52497,117,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,E3,21,0000022123,W,3,I,,,,,,0,
52497,118,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,F3,22,0000022123,W,3,I,,,,,,0,
52497,119,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,G3,23,0000022123,W,3,I,,,,,,0,
52497,120,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,H3,24,0000022123,W,3,I,,,,,,0,
52497,121,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,A4,25,0000022123,W,3,I,,,,,,0,
52497,122,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,B4,26,0000022123,W,3,I,,,,,,0,
52497,123,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,C4,27,0000022123,W,3,I,,,,,,0,
52497,124,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,D4,28,0000022123,W,3,I,,,,,,0,
52497,125,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,E4,29,0000022123,W,3,I,,,,,,0,
52497,126,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,F4,30,0000022123,W,3,I,,,,,,0,
52497,127,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,G4,31,0000022123,W,3,I,,,,,,0,
52497,128,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,H4,32,0000022123,W,3,I,,,,,,0,
52497,129,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,A5,33,0000022123,W,3,I,,,,,,0,
52497,130,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,B5,34,0000022123,W,3,I,,,,,,0,
52497,131,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,C5,35,0000022123,W,3,I,,,,,,0,
52497,1,Heart,,,,0,0,,,,,,,,,1,1400002563,A1,1,0000022114,W,2,I,,,,,,0,
52497,2,Heart,,,,0,0,,,,,,,,,1,1400002563,B1,2,0000022114,W,2,I,,,,,,0,
52497,3,Heart,,,,0,0,,,,,,,,,1,1400002563,C1,3,0000022114,W,2,I,,,,,,0,
52497,4,Heart,,,,0,0,,,,,,,,,1,1400002563,D1,4,0000022114,W,2,I,,,,,,0,
52497,5,Heart,,,,0,0,,,,,,,,,1,1400002563,E1,5,0000022114,W,2,I,,,,,,0,
52497,6,Heart,,,,0,0,,,,,,,,,1,1400002563,F1,6,0000022114,W,2,I,,,,,,0,
52497,7,Heart,,,,0,0,,,,,,,,,1,1400002563,G1,7,0000022114,W,2,I,,,,,,0,
52497,8,Heart,,,,0,0,,,,,,,,,1,1400002563,H1,8,0000022114,W,2,I,,,,,,0,
52497,9,Heart,,,,0,0,,,,,,,,,1,1400002563,A2,9,0000022114,W,2,I,,,,,,0,
52497,10,Heart,,,,0,0,,,,,,,,,1,1400002563,B2,10,0000022114,W,2,I,,,,,,0,
52497,11,Heart,,,,0,0,,,,,,,,,1,1400002563,C2,11,0000022114,W,2,I,,,,,,0,
52497,12,Heart,,,,0,0,,,,,,,,,1,1400002563,D2,12,0000022114,W,2,I,,,,,,0,
52497,13,Heart,,,,0,0,,,,,,,,,1,1400002563,E2,13,0000022114,W,2,I,,,,,,0,
52497,14,Heart,,,,0,0,,,,,,,,,1,1400002563,F2,14,0000022114,W,2,I,,,,,,0,
52497,15,Heart,,,,0,0,,,,,,,,,1,1400002563,G2,15,0000022114,W,2,I,,,,,,0,
52497,16,Heart,,,,0,0,,,,,,,,,1,1400002563,H2,16,0000022114,W,2,I,,,,,,0,
52497,17,Heart,,,,0,0,,,,,,,,,1,1400002563,A3,17,0000022114,W,2,I,,,,,,0,
52497,18,Heart,,,,0,0,,,,,,,,,1,1400002563,B3,18,0000022114,W,2,I,,,,,,0,
52497,19,Heart,,,,0,0,,,,,,,,,1,1400002563,C3,19,0000022114,W,2,I,,,,,,0,
52497,20,Heart,,,,0,0,,,,,,,,,1,1400002563,D3,20,0000022114,W,2,I,,,,,,0,
52497,21,Heart,,,,0,0,,,,,,,,,1,1400002563,E3,21,0000022114,W,2,I,,,,,,0,
52497,22,Heart,,,,0,0,,,,,,,,,1,1400002563,F3,22,0000022114,W,2,I,,,,,,0,
52497,23,Heart,,,,0,0,,,,,,,,,1,1400002563,G3,23,0000022114,W,2,I,,,,,,0,
52497,24,Heart,,,,0,0,,,,,,,,,1,1400002563,H3,24,0000022114,W,2,I,,,,,,0,
52497,25,Heart,,,,0,0,,,,,,,,,1,1400002563,A4,25,0000022114,W,2,I,,,,,,0,
52497,26,Heart,,,,0,0,,,,,,,,,1,1400002563,B4,26,0000022114,W,2,I,,,,,,0,
52497,27,Heart,,,,0,0,,,,,,,,,1,1400002563,C4,27,0000022114,W,2,I,,,,,,0,
52497,28,Heart,,,,0,0,,,,,,,,,1,1400002563,D4,28,0000022114,W,2,I,,,,,,0,
52497,29,Heart,,,,0,0,,,,,,,,,1,1400002563,E4,29,0000022114,W,2,I,,,,,,0,
52497,30,Heart,,,,0,0,,,,,,,,,1,1400002563,F4,30,0000022114,W,2,I,,,,,,0,
52497,31,Heart,,,,0,0,,,,,,,,,1,1400002563,G4,31,0000022114,W,2,I,,,,,,0,
52497,32,Heart,,,,0,0,,,,,,,,,1,1400002563,H4,32,0000022114,W,2,I,,,,,,0,
52497,33,Heart,,,,0,0,,,,,,,,,1,1400002563,A5,33,0000022114,W,2,I,,,,,,0,
52497,34,Heart,,,,0,0,,,,,,,,,1,1400002563,B5,34,0000022114,W,2,I,,,,,,0,
52497,35,Heart,,,,0,0,,,,,,,,,1,1400002563,C5,35,0000022114,W,2,I,,,,,,0,
52497,36,Heart,,,,0,0,,,,,,,,,1,1400002563,D5,36,0000022114,W,2,I,,,,,,0,
52497,37,Heart,,,,0,0,,,,,,,,,1,1400002563,E5,37,0000022114,W,2,I,,,,,,0,
52497,38,Heart,,,,0,0,,,,,,,,,1,1400002563,F5,38,0000022114,W,2,I,,,,,,0,
52497,39,Heart,,,,0,0,,,,,,,,,1,1400002563,G5,39,0000022114,W,2,I,,,,,,0,
52497,40,Heart,,,,0,0,,,,,,,,,1,1400002563,H5,40,0000022114,W,2,I,,,,,,0,
52497,41,Heart,,,,0,0,,,,,,,,,1,1400002563,A6,41,0000022114,W,2,I,,,,,,0,
52497,42,Heart,,,,0,0,,,,,,,,,1,1400002563,B6,42,0000022114,W,2,I,,,,,,0,
52497,43,Heart,,,,0,0,,,,,,,,,1,1400002563,C6,43,0000022114,W,2,I,,,,,,0,
52497,44,Heart,,,,0,0,,,,,,,,,1,1400002563,D6,44,0000022114,W,2,I,,,,,,0,
52497,45,Heart,,,,0,0,,,,,,,,,1,1400002563,E6,45,0000022114,W,2,I,,,,,,0,
52497,46,Heart,,,,0,0,,,,,,,,,1,1400002563,F6,46,0000022114,W,2,I,,,,,,0,
52497,47,Heart,,,,0,0,,,,,,,,,1,1400002563,G6,47,0000022114,W,2,I,,,,,,0,
52497,48,Heart,,,,0,0,,,,,,,,,1,1400002563,H6,48,0000022114,W,2,I,,,,,,0,
52497,49,Heart,,,,0,0,,,,,,,,,2,1400002564,A1,1,0000022114,W,2,I,,,,,,0,
52497,50,Heart,,,,0,0,,,,,,,,,2,1400002564,B1,2,0000022114,W,2,I,,,,,,0,
52497,51,Heart,,,,0,0,,,,,,,,,2,1400002564,C1,3,0000022114,W,2,I,,,,,,0,
52497,52,Heart,,,,0,0,,,,,,,,,2,1400002564,D1,4,0000022114,W,2,I,,,,,,0,
52497,53,Heart,,,,0,0,,,,,,,,,2,1400002564,E1,5,0000022114,W,2,I,,,,,,0,
52497,54,Heart,,,,0,0,,,,,,,,,2,1400002564,F1,6,0000022114,W,2,I,,,,,,0,
52497,55,Heart,,,,0,0,,,,,,,,,2,1400002564,G1,7,0000022114,W,2,I,,,,,,0,
52497,56,Heart,,,,0,0,,,,,,,,,2,1400002564,H1,8,0000022114,W,2,I,,,,,,0,
52497,57,Heart,,,,0,0,,,,,,,,,2,1400002564,A2,9,0000022114,W,2,I,,,,,,0,
52497,58,Heart,,,,0,0,,,,,,,,,2,1400002564,B2,10,0000022114,W,2,I,,,,,,0,
52497,59,Heart,,,,0,0,,,,,,,,,2,1400002564,C2,11,0000022114,W,2,I,,,,,,0,
52497,60,Heart,,,,0,0,,,,,,,,,2,1400002564,D2,12,0000022114,W,2,I,,,,,,0,
52497,61,Heart,,,,0,0,,,,,,,,,2,1400002564,E2,13,0000022114,W,2,I,,,,,,0,
52497,62,Heart,,,,0,0,,,,,,,,,2,1400002564,F2,14,0000022114,W,2,I,,,,,,0,
52497,63,Heart,,,,0,0,,,,,,,,,2,1400002564,G2,15,0000022114,W,2,I,,,,,,0,
52497,64,Heart,,,,0,0,,,,,,,,,2,1400002564,H2,16,0000022114,W,2,I,,,,,,0,
52497,65,Heart,,,,0,0,,,,,,,,,2,1400002564,A3,17,0000022114,W,2,I,,,,,,0,
52497,66,Heart,,,,0,0,,,,,,,,,2,1400002564,B3,18,0000022114,W,2,I,,,,,,0,
52497,67,Heart,,,,0,0,,,,,,,,,2,1400002564,C3,19,0000022114,W,2,I,,,,,,0,
52497,68,Heart,,,,0,0,,,,,,,,,2,1400002564,D3,20,0000022114,W,2,I,,,,,,0,
52497,69,Heart,,,,0,0,,,,,,,,,2,1400002564,E3,21,0000022114,W,2,I,,,,,,0,
